source_csv,offer_url,already_in_source_csv
processus_ouverts.csv,https://tower-research.com/open-positions?gh_jid=8037860,True
processus_ouverts.csv,https://grnh.se/bytkm3y62us,True
processus_ouverts.csv,https://nomuracampus.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-4/user-598163/xf-1181ef381c7b/candidate/so/pm/1/pl/1/opp/1451-2027-Global-Markets-Digital-Office-Summer-Internship-Quants-Strats-London-For-2028-Graduates/en-GB,True
processus_ouverts.csv,https://nomuracampus.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-4/user-598163/xf-1181ef381c7b/candidate/so/pm/1/pl/1/opp/1427-2027-Investment-Banking-Coverage-Advisory-Summer-Internship-London/en-GB,True
processus_ouverts.csv,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/jobs?keyword=%22summer+internship%22&lastSelectedFacet=TITLES&location=United+Kingdom&locationId=300000000378281&locationLevel=country&mode=location&selectedTitlesFacet=CAPG,True
processus_ouverts.csv,https://careers.marsh.com/global/en/job/R_363208/NERA-Summer-Intern-2027-London,True
processus_ouverts.csv,https://pnc.wd5.myworkdayjobs.com/en-US/HarrisWilliams/job/XMLNAME-2027-Summer-Analyst--London_R233025,True
processus_ouverts.csv,https://www.deshaw.com/careers/internships,True
processus_ouverts.csv,https://jobs.ashbyhq.com/blocktech/b170f716-113b-4e6e-a883-473f3cabf062,True
processus_ouverts.csv,https://xycapital.careers.hibob.com/jobs/6f65a9e5-950f-42c3-b0bb-31a00483fdc4,True
processus_ouverts.csv,https://www.squarepoint-capital.com/open-opportunities?lvl=Internship&loc=14632,True
processus_ouverts.csv,https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489186002,True
processus_ouverts.csv,https://job-boards.eu.greenhouse.io/imc?keyword=trader+intern&offices%5B%5D=4012435101,True
processus_ouverts.csv,https://apptrkr.io/qatalyst-partners/intern-campaign-2027,True
processus_ouverts.csv,https://jobs.ubs.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25008&siteid=5131&PageType=searchResults&SearchType=linkquery&LinkID=15232,True
processus_ouverts.csv,https://morganstanley.tal.net/vx/lang-en-GB/mobile-0/brand-2/user-5764832/xf-854c2833f441/candidate/so/pm/1/pl/1/opp/21502-2027-Sales-Trading-Summer-Analyst-Programme-London/en-GB,True
processus_ouverts.csv,https://jobs.standardchartered.com/search?q=%22intern+uk+2027%22&skillsSearch=false&facetFilters=%7B%7D&pageNumber=0,True
processus_ouverts.csv,https://grnh.se/crd9x232teu,True
processus_ouverts.csv,https://morganstanley.tal.net/vx/lang-en-GB/mobile-0/brand-2/user-5764832/xf-854c2833f441/candidate/so/pm/1/pl/1/opp/21776-2027-Global-Capital-Markets-Summer-Analyst-Programme-London/en-GB,True
processus_ouverts.csv,https://job-boards.greenhouse.io/embed/job_board?for=jumptrading&offices%5B%5D=58179&offices%5B%5D=2448&keyword=quantitative+intern,True
processus_ouverts.csv,https://job-boards.greenhouse.io/embed/job_app?for=gsacapital&token=8518528002,True
processus_ouverts.csv,https://gresearch.wd103.myworkdayjobs.com/en-US/G-Research/job/Quant-Research-Internship_R3691,True
processus_ouverts.csv,https://grnh.se/q1m7aqng1us,True
processus_ouverts.csv,https://gic.careers/programmes/gic-internship-programme,True
processus_ouverts.csv,https://www.revolut.com/careers/position/internship-programme-2027-strategy-operations-manager-aa3cc201-5808-4d7e-ba8e-e82e443d90d3,True
processus_ouverts.csv,https://www.wincent.com/careers/quantitative-research-internship-quant-research-trading-starting-summer-2027,True
processus_ouverts.csv,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210775320,True
processus_ouverts.csv,https://job-boards.greenhouse.io/rothesaygraduates/jobs/8784142002,True
processus_ouverts.csv,https://www.janestreet.com/join-jane-street/open-roles?type=internship&location=london,True
processus_ouverts.csv,https://job-boards.greenhouse.io/ctccampusboard/jobs/4709545005,True
processus_ouverts.csv,https://share-eu1.hsforms.com/1zMPdeUlqRmmsRkIiUE4NjA2b8apt?_hsenc=p2ANqtz-8iWEGAPAUjzPg5jVL34pblrdMJ8LFNgLjyRRV4tTDHSvKks4MXvQsE3yiK-R3cS6BRanmEE34oGkCc2EMW_LOxVcV59g&_hsmi=144698052,True
processus_ouverts.csv,https://blackstone.wd1.myworkdayjobs.com/en-US/Blackstone_Campus_Careers?q=2027+summer&locations=ef375a2335bb019369c586065e1f3d2b,True
processus_ouverts.csv,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210774281,True
processus_ouverts.csv,https://job-boards.greenhouse.io/mwinternshipprogram/jobs/8772688002,True
processus_ouverts.csv,https://rothschildandco.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-4/xf-d1e4b70a3b97/candidate/jobboard/vacancy/2/adv?f_Item_Opportunity_78763_lk=523763&f_Item_Opportunity_132775_lk=519868&f_Item_Opportunity_60426_lk=520148,True
processus_ouverts.csv,https://mufgub.wd3.myworkdayjobs.com/en-US/MUFG-EarlyCareers/job/XMLNAME-2027-MUFG-UK-Summer-Analyst-Programme--Japanese-Corporate-Banking_10079266-WD,True
processus_ouverts.csv,https://app-accuracy.bc.direct/recruitment/career/5ee62d016b800f0fc8e70d1c/6a905afb6734cf4a41487373,True
processus_ouverts.csv,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Markets---Sales-and-Trading--Summer-Analyst--London---United-Kingdom--2027_26987141,True
processus_ouverts.csv,https://careers.sig.com/jobs?page=1&categories=Interns+%2B+Co-ops%7CStudent+Discovery+Program&limit=100&locations=Dublin%2C%2CIreland%7CLondon%2C%2CUnited+Kingdom,True
processus_ouverts.csv,https://job-boards.greenhouse.io/xantium/jobs/4371217009,True
processus_ouverts.csv,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210775710,True
